SRA Accession,RECEIPT,TRAVEL,SNP,lat ,lon,Discrepancy Lat/Lon,Country,Region,Sub-region,RECEIPT_datetime,Cluster
SRR1965773,2014-07-03,Egypt,1.1.2.359.1468.1694.2335,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-07-03,6
SRR1966260,2014-07-04,,1.1.2.52.52.52.52,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-07-04,6
SRR8839582,2019-03-25,,1.1.2.28.195.5872.12876,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-25,6
SRR1968070,2014-05-14,,1.1.2.12.421.429.459,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-14,6
SRR1969064,2014-05-15,India,1.1.2.2.2.2.2443,20.593684,78.96288,0.0,India,Asia,Southern Asia,2014-05-15,6
SRR1967458,2014-05-15,,1.1.2.10.10.10.10,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-15,6
SRR1968949,2014-05-16,Malaysia,1.1.2.206.939.1054.1390,4.210484,101.975766,0.0,Malaysia,Asia,South-eastern Asia,2014-05-16,6
SRR1969819,2014-05-19,European continent,1.1.2.80.1121.1266.1892,#N/A,#N/A,1.0,NA,Europe,,2014-05-19,6
SRR1965336,2014-05-20,Turkey,1.1.2.29.29.29.29,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-05-20,6
SRR1969187,2014-05-20,,1.1.2.2073.389.2854.854,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-20,6
SRR8839355,2019-03-25,,1.1.2.15.361.1950.12881,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-25,6
SRR8839542,2019-03-25,,1.1.2.1028.1673.5871.12875,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-25,6
SRR1965567,2014-05-14,,1.1.2.206.4386.6433.15050,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-14,6
SRR8839353,2019-03-25,,1.1.2.1094.1816.2152.12878,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-25,6
SRR8873669,2019-03-26,Egypt,1.1.2.28.149.149.12887,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-26,6
SRR8873667,2019-03-26,,1.1.2.12.12.590.12891,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-26,6
SRR1965345,2014-05-13,,1.1.2.28.469.486.709,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-13,6
SRR1969419,2014-05-13,Egypt,1.1.2.28.43.43.1407,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-05-13,6
SRR1969282,2014-05-13,,1.1.2.12.12.590.1298,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-13,6
SRR1969900,2014-05-14,,1.1.2.28.469.486.1414,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-14,6
SRR1968073,2014-05-14,,1.1.2.28.934.1045.1375,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-14,6
SRR8820147,2019-03-19,India,1.1.2.2.4112.5865.12864,20.593684,78.96288,0.0,India,Asia,Southern Asia,2019-03-19,6
SRR8878969,2019-03-27,,1.1.2.34.4102.5844.12893,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8879000,2019-03-27,,1.1.2.34.4102.5844.12893,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR1968297,2014-05-23,,1.1.2.12.12.12.12,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-23,6
SRR1966199,2014-05-23,Spain,1.1.2.80.100.100.100,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2014-05-23,6
SRR3049356,2014-05-27,,1.1.2.28.934.1045.1832,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-27,6
SRR3049395,2014-05-28,African continent,1.1.2.28.1335.1530.2084,#N/A,#N/A,1.0,NA,Africa,,2014-05-28,6
SRR3049697,2014-05-28,,1.1.2.20.20.20.20,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-28,6
SRR8820638,2019-03-19,Thailand,1.1.2.34.2296.5862.12856,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2019-03-19,6
SRR8833187,2019-03-19,Saudi arabia,1.1.2.504.4111.5863.12858,23.885942,45.079162,0.0,Saudi arabia,Asia,Western Asia,2019-03-19,6
SRR1968024,2014-05-14,,1.1.2.10.10.1278.1719,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-14,6
SRR8820081,2019-03-19,,1.1.2.2533.3617.4833.12293,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-19,6
SRR8856645,2019-03-20,,1.1.2.12.12.590.12880,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-20,6
SRR8839536,2019-03-20,,1.1.2.12.12.12.9908,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-20,6
SRR8839543,2019-03-20,,1.1.2.12.12.12.9908,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-20,6
SRR8861907,2019-03-22,,1.1.2.2309.3074.3907.7644,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-22,6
SRR8862651,2019-03-22,,1.1.2.12.12.12.9908,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-22,6
SRR8936125,2019-04-01,Poland,1.1.2.12.12.12.12910,51.919438,19.145136,0.0,Poland,Europe,Eastern Europe,2019-04-01,6
SRR8893676,2019-04-01,,1.1.2.1326.800.3205.12907,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-04-01,6
SRR5193168,2016-10-11,,1.1.2.1711.2003.2405.5933,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-11,6
SRR3049597,2014-04-28,Cuba,1.1.2.15.1015.1140.2612,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2014-04-28,6
SRR1968431,2014-05-01,,1.1.2.277.277.277.277,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-01,6
SRR1967094,2014-05-01,,1.1.2.165.165.165.845,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-01,6
SRR1969413,2014-05-02,,1.1.2.28.195.195.279,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-02,6
SRR1966853,2014-05-02,,1.1.2.80.453.467.697,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-02,6
SRR1969259,2014-05-06,,1.1.2.28.195.358.554,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-06,6
SRR5193959,2016-10-10,,1.1.2.2066.411.3654.5910,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-10,6
SRR5193791,2016-10-11,,1.1.2.61.61.61.5921,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-11,6
SRR5215777,2016-10-11,,1.1.2.61.61.3080.5927,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-11,6
SRR8997932,2019-04-17,Asian continent,1.1.2.28.4124.5898.12983,#N/A,#N/A,1.0,NA,Asia,,2019-04-17,6
SRR5194176,2016-10-11,Morocco,1.1.2.80.349.1012.5919,31.791702,-7.09262,0.0,Morocco,Africa,Northern Africa,2016-10-11,6
SRR6924081,2016-10-11,,1.1.2.28.149.149.5936,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-11,6
SRR6898077,2016-10-11,Greece,1.1.2.80.100.100.5932,39.074208,21.824312,0.0,Greece,Europe,Southern Europe,2016-10-11,6
SRR5193092,2016-10-11,Turkey,1.1.2.1711.2003.2405.4905,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2016-10-11,6
SRR8661097,2016-10-12,Turkey,1.1.2.1326.447.461.5942,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2016-10-12,6
SRR8658237,2016-10-12,,1.1.2.1197.2036.2463.5946,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2016-10-12,6
SRR3048684,2014-04-28,,1.1.2.206.753.821.1034,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-04-28,6
SRR1965456,2014-04-29,,1.1.2.12.12.12.541,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-04-29,6
SRR8885339,2019-03-29,Jordan,1.1.2.28.149.149.12901,30.585164,36.238414,0.0,Jordan,Asia,Western Asia,2019-03-29,6
SRR1968688,2014-05-14,Egypt,1.1.2.28.469.486.709,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-05-14,6
SRR8885341,2019-03-27,,1.1.2.34.4102.5844.12895,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8879016,2019-03-27,,1.1.2.28.149.149.12887,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8879027,2019-03-27,,1.1.2.4.4.5878.12897,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8873660,2019-03-27,,1.1.2.2309.3074.3907.12896,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8879004,2019-03-27,,1.1.2.274.274.5876.12892,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-27,6
SRR8936148,2019-03-28,,1.1.2.849.4065.5751.12915,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-28,6
SRR8936127,2019-03-29,,1.1.2.116.703.5883.12924,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-29,6
SRR3048808,2014-06-03,Egypt,1.1.2.2073.389.1834.2560,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-06-03,6
SRR8936128,2019-04-01,Spain,1.1.2.2309.3074.3907.12928,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2019-04-01,6
SRR1967482,2014-04-30,,1.1.2.20.20.20.20,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-04-30,6
SRR1969656,2014-04-23,,1.1.2.1326.544.571.727,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-04-23,6
SRR1966337,2014-04-23,Egypt,1.1.2.359.380.383.1343,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-04-23,6
SRR1965038,2014-04-23,,1.1.2.28.434.445.480,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-04-23,6
SRR8998262,2019-04-17,Egypt,1.1.2.219.4123.5897.12982,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-04-17,6
SRR3048690,2014-04-25,Vietnam,1.1.2.224.224.224.224,14.058324,108.277199,0.0,Vietnam,Asia,South-eastern Asia,2014-04-25,6
SRR8997935,2019-04-17,,1.1.2.2533.3617.4833.12911,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-04-17,6
SRR3049080,2014-06-11,,1.1.2.42.1183.1344.1816,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-11,6
SRR3049056,2014-06-10,Dominican republic,1.1.2.1326.544.571.2083,18.735693,-70.162651,0.0,Dominican republic,Americas,Latin America and the Caribbean,2014-06-10,6
SRR3049665,2014-06-10,Turkey,1.1.2.29.29.29.491,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-06-10,6
SRR3049271,2014-06-10,,1.1.2.1326.920.1029.1348,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-10,6
SRR3049031,2014-06-10,United Arab Emirates,1.1.2.1326.544.571.2044,23.424076,53.847818,0.0,United Arab Emirates,Asia,Western Asia,2014-06-10,6
SRR1965121,2014-06-10,Iran,1.1.2.39.39.39.39,32.427908,53.688046,0.0,Iran,Asia,Southern Asia,2014-06-10,6
SRR3049397,2014-06-10,Egypt,1.1.2.28.415.1126.1500,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-06-10,6
SRR3049087,2014-06-10,,1.1.2.12.379.382.402,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-10,6
SRR3048883,2014-06-10,,1.1.2.80.741.806.1010,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-10,6
SRR3049217,2014-06-11,,1.1.2.31.31.31.31,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-11,6
SRR3049307,2014-06-09,Morocco,1.1.2.80.833.921.1183,31.791702,-7.09262,0.0,Morocco,Africa,Northern Africa,2014-06-09,6
SRR3048935,2014-06-11,,1.1.2.32.32.32.32,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-11,6
SRR8704846,2019-02-25,Mauritius,1.1.2.7.4101.5840.12786,-20.348404,57.552152,0.0,Mauritius,Africa,Sub-Saharan Africa,2019-02-25,6
SRR8772265,2019-03-12,,1.1.2.4.3525.5761.12845,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-12,6
SRR8772219,2019-03-12,,1.1.2.7.1178.1338.12837,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-12,6
SRR8772222,2019-03-12,,1.1.2.28.195.5858.12846,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-12,6
SRR3049564,2014-06-05,Spain,1.1.2.31.31.31.31,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2014-06-05,6
SRR3049061,2014-06-05,Spain,1.1.2.31.31.31.31,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2014-06-05,6
SRR3049391,2014-06-06,,1.1.2.28.487.504.2251,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-06,6
SRR8658178,2019-02-20,,1.1.2.12.12.12.9908,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-20,6
SRR8724658,2019-02-26,Cuba,1.1.2.15.361.5843.12800,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2019-02-26,6
SRR8738310,2019-02-26,,1.1.2.28.419.444.12803,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-26,6
SRR8724941,2019-02-26,,1.1.2.15.361.5841.12796,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-26,6
SRR8724687,2019-02-27,United Arab Emirates,1.1.2.1326.544.2643.12784,23.424076,53.847818,0.0,United Arab Emirates,Asia,Western Asia,2019-02-27,6
SRR8724960,2019-02-28,Egypt,1.1.2.28.43.883.12798,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-02-28,6
SRR8758321,2019-03-01,Egypt,1.1.2.64.64.1930.12826,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-01,6
SRR8670890,2019-02-19,,1.1.2.67.67.5829.12763,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-19,6
SRR8658186,2019-02-20,Cuba,1.1.2.15.4099.5833.12773,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2019-02-20,6
SRR8657053,2019-02-20,,1.1.2.2533.3617.4833.12771,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-20,6
SRR1968577,2014-06-06,,1.1.2.23.23.23.23,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-06,6
SRR8704695,2019-02-21,Thailand,1.1.2.34.2296.5839.12782,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2019-02-21,6
SRR8701088,2019-02-22,,1.1.2.1028.1673.5836.12778,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-22,6
SRR8691115,2019-02-22,,1.1.2.80.833.1514.12606,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-02-22,6
SRR3049351,2014-06-11,,1.1.2.28.195.1312.1772,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-11,6
SRR3049123,2014-06-13,,1.1.2.40.40.40.40,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-13,6
SRR8758319,2019-03-07,,1.1.2.178.4013.5633.12610,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-07,6
SRR3049715,2014-06-06,,1.1.2.28.354.1730.2396,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-06,6
SRR1968414,2014-06-09,,1.1.2.29.29.29.491,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-09,6
SRR3048799,2014-06-02,Turkey,1.1.2.29.29.29.29,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-06-02,6
SRR8758399,2019-03-08,,1.1.2.504.4106.5850.12827,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-08,6
SRR8774536,2019-03-11,,1.1.2.2073.2557.3210.12840,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-11,6
SRR8772218,2019-03-11,,1.1.2.28.195.5856.12842,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-11,6
SRR8772191,2019-03-11,Thailand,1.1.2.34.2296.5854.12834,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2019-03-11,6
SRR3049931,2014-05-28,,1.1.2.273.273.273.627,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-28,6
SRR3049378,2014-05-28,Turkey,1.1.2.29.29.29.29,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-05-28,6
SRR1966388,2014-05-29,,1.1.2.26.26.26.2157,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-29,6
SRR3048552,2014-05-29,,1.1.2.26.26.26.26,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-29,6
SRR3049528,2014-05-30,,1.1.2.30.30.30.30,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-05-30,6
SRR8758392,2019-03-07,Egypt,1.1.2.28.43.883.12798,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-07,6
SRR8774348,2019-03-12,,1.1.2.12.12.12.12841,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-12,6
SRR8774537,2019-03-12,,1.1.2.15.361.5857.12844,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-12,6
SRR8775495,2019-03-13,,1.1.2.147.4109.5860.12850,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-13,6
SRR8775490,2019-03-13,Turkey,1.1.2.28.149.149.12849,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2019-03-13,6
SRR8797002,2019-03-15,,1.1.2.34.2296.5839.12852,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-15,6
SRR8820634,2019-03-18,Vietnam,1.1.2.7.1178.4664.12861,14.058324,108.277199,0.0,Vietnam,Asia,South-eastern Asia,2019-03-18,6
SRR8839544,2019-03-18,,1.1.2.34.2296.2850.12865,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-18,6
SRR3048990,2014-06-02,,1.1.2.28.415.1731.2397,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-02,6
SRR3049838,2014-06-03,,1.1.2.35.35.35.35,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-03,6
SRR8758322,2019-03-01,Egypt,1.1.2.28.43.883.12798,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-01,6
SRR8738279,2019-03-04,Indonesia,1.1.2.28.4103.5845.12811,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2019-03-04,6
SRR8738373,2019-03-04,,1.1.2.12.12.590.12807,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-04,6
SRR8738375,2019-03-04,Thailand,1.1.2.34.4102.5844.12805,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2019-03-04,6
SRR8738280,2019-03-05,,1.1.2.28.149.149.12808,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-05,6
SRR8758307,2019-03-06,Indonesia,1.1.2.28.195.5704.12823,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2019-03-06,6
SRR8758313,2019-03-06,,1.1.2.7.3550.5848.12817,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-06,6
SRR8758308,2019-03-06,United Arab Emirates,1.1.2.1326.544.2643.12819,23.424076,53.847818,0.0,United Arab Emirates,Asia,Western Asia,2019-03-06,6
SRR8380678,2018-12-17,Egypt,1.1.2.28.43.1319.12563,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2018-12-17,6
SRR3048902,2014-06-03,Thailand,1.1.2.34.34.34.34,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2014-06-03,6
SRR3049599,2014-06-04,,1.1.2.23.23.23.23,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-04,6
SRR3049204,2014-06-04,,1.1.2.131.131.131.131,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-04,6
SRR3048858,2014-06-04,Turkey,1.1.2.48.598.638.771,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-06-04,6
SRR3049640,2014-06-04,,1.1.2.12.12.12.12,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-06-04,6
SRR8754459,2019-03-07,,1.1.2.12.12.590.10102,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2019-03-07,6
SRR8754466,2019-03-07,Egypt,1.1.2.64.64.1930.12820,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-07,6
SRR8772259,2019-03-07,Egypt,1.1.2.28.43.883.12798,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2019-03-07,6
SRR8149132,2018-10-24,,1.1.2.28.149.149.10389,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR1966525,2014-08-04,Turkey,1.1.2.1712.58.570.1866,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2014-08-04,6
SRR1965914,2014-08-04,,1.1.2.165.165.165.1192,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-04,6
SRR1966691,2014-08-04,Czech republic,1.1.2.95.95.95.95,49.817492,15.472962,0.0,Czech republic,Europe,Eastern Europe,2014-08-04,6
SRR1968826,2014-08-04,,1.1.2.2073.389.895.1144,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-04,6
SRR1965615,2014-08-04,,1.1.2.95.95.95.95,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-04,6
SRR1968083,2014-08-04,Egypt,1.1.2.28.520.541.623,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2014-08-04,6
SRR1967572,2014-08-04,Tunisia,1.1.2.96.96.96.96,33.886917,9.537499,0.0,Tunisia,Africa,Northern Africa,2014-08-04,6
SRR1967432,2014-08-04,,1.1.2.28.149.149.2410,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-04,6
SRR1969116,2014-08-04,,1.1.2.63.63.1421.2178,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-04,6
SRR8149436,2018-10-22,,1.1.2.12.421.429.12258,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-22,6
SRR8172820,2018-10-24,,1.1.2.28.149.149.12280,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR8149180,2018-10-24,,1.1.2.504.2340.5677.12278,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR8172825,2018-10-24,,1.1.2.28.149.149.12280,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR8149408,2018-10-24,,1.1.2.28.149.149.12272,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR8149186,2018-10-24,Turkey,1.1.2.1161.1926.5676.12277,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2018-10-24,6
SRR8166253,2018-10-25,,1.1.2.12.12.590.12288,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-25,6
SRR8201844,2018-11-02,Cuba,1.1.2.15.361.4882.12370,21.521757,-77.781167,0.0,Cuba,Americas,Latin America and the Caribbean,2018-11-02,6
SRR8185543,2018-10-30,Thailand,1.1.2.1030.1856.2862.12341,15.870032,100.992541,0.0,Thailand,Asia,South-eastern Asia,2018-10-30,6
SRR8182955,2018-10-23,Cyprus,1.1.2.2533.3617.4833.12299,35.126413,33.429859,0.0,Cyprus,Asia,Western Asia,2018-10-23,6
SRR8183084,2018-10-17,,1.1.2.28.43.883.11616,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-17,6
SRR8142768,2018-10-18,,1.1.2.63.63.3346.11691,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-18,6
SRR8142765,2018-10-18,Spain,1.1.2.12.421.429.12206,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2018-10-18,6
SRR8166227,2018-10-25,,1.1.2.28.2230.2759.12289,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-25,6
SRR1969976,2014-08-05,,1.1.2.165.165.165.2011,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-05,6
SRR8172838,2018-10-23,,1.1.2.132.132.132.12291,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-23,6
SRR8149181,2018-10-23,,1.1.2.15.361.1950.11658,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-23,6
SRR8172836,2018-10-23,,1.1.2.15.15.3655.12297,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-23,6
SRR8172832,2018-10-23,,1.1.2.2533.3617.4833.12293,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-23,6
SRR8183061,2018-10-30,Spain,1.1.2.2066.411.3654.12339,40.463667,-3.74922,0.0,Spain,Europe,Southern Europe,2018-10-30,6
SRR8182732,2018-10-23,Egypt,1.1.2.28.43.1319.12219,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2018-10-23,6
SRR8490773,2018-10-23,Egypt,1.1.2.28.43.1319.12294,26.820553,30.802498,0.0,Egypt,Africa,Northern Africa,2018-10-23,6
SRR8149389,2018-10-24,,1.1.2.28.149.149.12280,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR8172814,2018-10-24,Indonesia,1.1.2.28.3510.5680.12308,-0.789275,113.921327,0.0,Indonesia,Asia,South-eastern Asia,2018-10-24,6
SRR8172824,2018-10-24,,1.1.2.28.149.149.12280,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2018-10-24,6
SRR1965078,2014-08-05,,1.1.2.12.12.890.2673,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-05,6
SRR1967906,2014-08-05,,1.1.2.63.63.63.63,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-05,6
SRR1965980,2014-08-05,,1.1.2.165.165.165.165,#N/A,#N/A,0.0,United Kingdom,Europe,Northern Europe,2014-08-05,6
SRR8201805,2018-11-06,Turkey,1.1.2.1326.2022.2792.12381,38.963745,35.243322,0.0,Turkey,Asia,Western Asia,2018-11-06,6
